Website Data Type,Website Data,SemRush API Data Type: Competitor_5,SemRush API Data: Competitor_5
Website Panel,,Database,fr
Company Name,unice.fr,Domain,unice.fr
Category Name,Education,Date,20230817
Category Rank,118,Rank,1929
Total Visits,500.8K,Organic Keywords,117946
Bounce Rate,37.42%,Organic Traffic,306596
Pages per Visit,3.79,Organic Cost,116281
Average Visit Duration,00:03:46,Adwords Keywords,0
Keywords Panel: Competitor_5,,Adwords Traffic,0
Total Keywords #5,6.7K,Adwords Cost,0
Organic Keywords Percentage,00.0%,PLA Keywords,0
Paid Keywords Percentage,0.0%,PLA Uniques,0
Marketing Channel Distribution Panel: Competitor_5,,SERP Features Positions,765
Direct,56.46%,SERP Features Positions Branded,
Referrals,31.16%,SERP Features Traffic,
Organic Search,9.69%,Number of Keywords 1-3,133
Paid Search,0.00%,Number of Keywords 3-10,1118
Social,0.98%,,
Mail,1.71%,,
Display,0.00%,,
